SeriousDlqin2yrs	RevolvingUtilizationOfUnsecuredLines	age	NumberOfTime30-59DaysPastDueNotWorse	DebtRatio	MonthlyIncome	NumberOfOpenCreditLinesAndLoans	NumberOfTimes90DaysLate	NumberRealEstateLoansOrLines	NumberOfTime60-89DaysPastDueNotWorse	NumberOfDependents
0	0.975614476	39	1	0.678552134	1850.0	4	0	0	0	3.0
0	0.006634251	75	0	0.08208742	10500.0	21	0	1	0	0.0
0	0.227431727	48	1	0.202145215	6059.0	9	0	1	0	3.0
0	0.290217102	59	0	0.674392184	4400.0	6	0	2	0	0.0
0	0.0	80	0	0.0	2596.0	2	0	0	0	1.0
0	0.026673956	64	0	0.433727594	8200.0	9	0	2	0	0.0
0	0.316129203	52	1	2674.0	0.0	9	0	2	0	0.0
0	0.054238915	66	0	0.158490928	10416.0	6	0	2	0	0.0
0	0.306132098	38	0	0.512685914	8000.0	7	0	1	0	4.0
0	0.775746322	33	0	0.372190664	4048.0	9	0	1	0	2.0
0	0.06869976	42	1	0.354245229	8750.0	7	0	2	0	2.0
0	0.239959329	39	0	0.086294416	6500.0	7	0	0	0	2.0
0	0.295458595	62	0	0.444592258	7516.0	14	0	2	0	0.0
0	0.018696843	75	0	0.018495376	4000.0	13	0	0	0	0.0
0	0.0	65	0	0.50265542	3200.0	6	0	2	0	1.0
0	0.021776988	74	0	0.215539223	6666.0	7	0	1	0	0.0
1	0.893510815	54	1	0.05426945	5269.0	6	1	0	0	0.0
1	0.716916601	35	0	0.021450645	5500.0	4	0	0	1	3.0
0	0.598187449	32	0	0.297284999	6592.0	8	0	0	0	0.0
0	0.684769702	77	3	0.479813665	10303.0	16	3	2	0	1.0
0	0.321767823	35	0	0.718414834	5500.0	6	0	2	0	1.0
1	0.154041934	35	0	0.393075356	5400.0	6	0	2	0	3.0
0	0.036490092	64	0	0.325173986	8333.0	12	0	1	0	1.0
0	0.015897885	40	0	0.123320537	4167.0	6	0	0	0	2.0
0	0.014873899	60	0	0.312127464	8723.0	14	0	2	0	0.0
0	0.514672513	35	0	0.206609275	3600.0	3	0	0	0	0.0
0	0.038462851	61	0	0.26904873	15000.0	14	0	2	0	1.0
0	0.366986035	31	0	0.374192357	5416.0	17	0	1	0	0.0
